epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,13578.2,0.50765,1.15556,0.34458,0.85251,0.37323,0.17703,0.19414,0.09377,0.37115,0.16746,0.18444,0.07096,2.49066,3.90351,3.2664,1.88347,0.0002212,0.0002212,0.0002212
120,13706.5,0.5028,1.17132,0.34048,0.85086,0.44682,0.19139,0.20505,0.0973,0.39873,0.16986,0.18716,0.07361,2.45489,3.92648,3.16676,1.89686,0.0002146,0.0002146,0.0002146
121,13827.6,0.52004,1.20955,0.35584,0.85027,0.43059,0.16507,0.20763,0.10255,0.42644,0.16268,0.20327,0.07771,2.48157,3.9127,3.31645,1.9394,0.000208,0.000208,0.000208
122,13922.1,0.50092,1.15667,0.33692,0.84885,0.42916,0.19378,0.19764,0.09143,0.4973,0.1704,0.18384,0.06883,2.3893,3.87359,2.8868,1.84384,0.0002014,0.0002014,0.0002014
123,14058,0.52562,1.17746,0.34189,0.8563,0.45215,0.16586,0.19599,0.09096,0.45375,0.16268,0.18775,0.06912,2.46212,3.93247,3.19353,1.83411,0.0001948,0.0001948,0.0001948
124,14188.6,0.49973,1.14297,0.34089,0.85432,0.48815,0.15311,0.21786,0.10685,0.50032,0.15072,0.21664,0.08415,2.49817,3.9221,3.36715,1.87359,0.0001882,0.0001882,0.0001882
125,14323.8,0.49431,1.16135,0.34024,0.84222,0.42667,0.1555,0.20398,0.1002,0.43894,0.15789,0.20477,0.07914,2.43171,3.91244,3.2855,1.87651,0.0001816,0.0001816,0.0001816
126,14440.7,0.47791,1.12877,0.32512,0.84597,0.46333,0.17225,0.21381,0.09952,0.46426,0.16986,0.20928,0.07978,2.45956,3.94206,3.18104,1.9166,0.000175,0.000175,0.000175
127,14550.1,0.48483,1.13634,0.33078,0.84656,0.47643,0.17225,0.22106,0.10618,0.4639,0.16562,0.21339,0.07953,2.46932,3.96271,3.20471,1.87698,0.0001684,0.0001684,0.0001684
128,14675.2,0.46537,1.13159,0.31626,0.83761,0.46876,0.17225,0.22133,0.11034,0.47589,0.17378,0.22168,0.08442,2.48052,3.96179,3.27676,1.8891,0.0001618,0.0001618,0.0001618
129,14801.4,0.48726,1.16746,0.3264,0.84076,0.46126,0.17943,0.2149,0.10465,0.43051,0.16746,0.20509,0.07669,2.42568,4.0262,3.16828,1.87049,0.0001552,0.0001552,0.0001552
130,14971.7,0.46361,1.12448,0.3238,0.84564,0.4102,0.16268,0.209,0.10032,0.40505,0.16029,0.20183,0.07407,2.49699,4.04334,3.34024,1.91771,0.0001486,0.0001486,0.0001486
131,15108.7,0.48988,1.17062,0.33359,0.84624,0.39931,0.16029,0.19422,0.09618,0.40855,0.16268,0.19419,0.071,2.45317,4.02383,3.3515,1.89481,0.000142,0.000142,0.000142
132,15230.3,0.50042,1.18661,0.33828,0.84086,0.37397,0.16986,0.20622,0.10007,0.36344,0.16507,0.20102,0.07432,2.44688,4.00598,3.25776,1.90615,0.0001354,0.0001354,0.0001354
133,15338.3,0.43849,1.06183,0.30006,0.82223,0.3961,0.17261,0.20448,0.1031,0.39188,0.16986,0.20121,0.07738,2.48919,4.06268,3.28294,1.92119,0.0001288,0.0001288,0.0001288
134,15458.7,0.45703,1.11365,0.30988,0.83852,0.42419,0.15789,0.21592,0.10629,0.42133,0.1555,0.2077,0.07598,2.43563,4.11891,3.40906,1.88665,0.0001222,0.0001222,0.0001222
135,15565.2,0.45679,1.09646,0.31131,0.85027,0.43252,0.1555,0.21501,0.10412,0.41921,0.15072,0.21259,0.08107,2.48892,4.03212,3.43865,1.91224,0.0001156,0.0001156,0.0001156
136,15695.9,0.4584,1.09452,0.31596,0.83615,0.43812,0.16229,0.21483,0.10084,0.41229,0.15273,0.20982,0.07443,2.53485,4.05678,3.46432,1.90813,0.000109,0.000109,0.000109
137,15806.7,0.46255,1.10576,0.30994,0.84467,0.4482,0.16268,0.22467,0.10621,0.43636,0.15789,0.21804,0.08157,2.55716,4.05613,3.40151,1.92303,0.0001024,0.0001024,0.0001024
138,15914.2,0.4471,1.07842,0.30976,0.83155,0.47252,0.16268,0.22604,0.10996,0.47816,0.16029,0.22022,0.08489,2.54046,4.0951,3.39707,1.91775,9.58e-05,9.58e-05,9.58e-05
139,16016.5,0.44748,1.09506,0.29765,0.84074,0.45015,0.16029,0.23026,0.10655,0.45299,0.15789,0.21831,0.08147,2.52611,4.11765,3.35352,1.90525,8.92e-05,8.92e-05,8.92e-05
140,16137.5,0.44735,1.10487,0.3034,0.83589,0.44145,0.16029,0.22766,0.10423,0.42168,0.15311,0.21586,0.08254,2.54111,4.13264,3.28452,1.91964,8.26e-05,8.26e-05,8.26e-05
141,16234.6,0.35256,1.15442,0.25752,0.793,0.42096,0.17943,0.22418,0.10598,0.41339,0.17464,0.21601,0.07779,2.48172,4.18965,3.11992,1.88604,7.6e-05,7.6e-05,7.6e-05
142,16339,0.32719,1.13655,0.24447,0.78879,0.40936,0.17703,0.21311,0.10259,0.39624,0.16957,0.20356,0.07498,2.52074,4.26716,3.13914,1.93783,6.94e-05,6.94e-05,6.94e-05
143,16444.8,0.31638,1.14618,0.24504,0.79185,0.4312,0.16029,0.22551,0.10759,0.42252,0.1555,0.21513,0.08125,2.54976,4.23349,3.32164,1.96441,6.28e-05,6.28e-05,6.28e-05
144,16560.5,0.30901,1.10558,0.2355,0.78791,0.49197,0.16507,0.24127,0.11649,0.47058,0.15789,0.23147,0.08736,2.44371,4.22849,3.37427,1.88553,5.62e-05,5.62e-05,5.62e-05
145,16664.5,0.31887,1.14598,0.24023,0.79248,0.47202,0.16268,0.24122,0.1173,0.45814,0.15789,0.22782,0.08515,2.35579,4.28094,3.28374,1.88001,4.96e-05,4.96e-05,4.96e-05
146,16779.7,0.2925,1.11616,0.23223,0.78699,0.48942,0.17887,0.24323,0.11743,0.47632,0.17408,0.2303,0.08808,2.33068,4.29207,3.25151,1.85196,4.3e-05,4.3e-05,4.3e-05
147,16887.7,0.29784,1.12066,0.23098,0.79085,0.47735,0.17225,0.24121,0.11765,0.47072,0.16986,0.22831,0.08688,2.44026,4.25177,3.28305,1.90026,3.64e-05,3.64e-05,3.64e-05
148,16992.4,0.28863,1.1332,0.22861,0.79981,0.48402,0.16986,0.24675,0.1207,0.46235,0.17703,0.23947,0.08873,2.39305,4.25228,3.29319,1.88546,2.98e-05,2.98e-05,2.98e-05
149,17101.5,0.2912,1.11538,0.22763,0.79172,0.46595,0.16698,0.24502,0.11996,0.45927,0.16459,0.23272,0.08709,2.35248,4.25327,3.31878,1.85653,2.32e-05,2.32e-05,2.32e-05
150,17223.4,0.28099,1.08978,0.22645,0.78138,0.47339,0.16746,0.24754,0.12024,0.45987,0.16268,0.23405,0.08885,2.39367,4.28057,3.31444,1.90612,1.66e-05,1.66e-05,1.66e-05
